,work_year,full_time_employee,salary_in_usd,US_resident,remote_ratio,US_location,Entry_Exp,Expert_Exp,Mid_Exp, Senior_Exp,Data Analyst,Data Engineer,Data Scientist,Machine Learning Engineer,USD,EUR,GBP,INR,Other_Currency,Large_Company,Midsize_Company,Small_Company
135,2021,1,99703,0,50,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
136,2020,1,109024,0,50,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
137,2020,1,114047,0,100,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
138,2020,1,70000,1,100,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
139,2021,1,60000,0,50,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
140,2021,1,22611,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
141,2021,1,18000,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
142,2021,1,5882,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
143,2021,1,16228,0,100,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
144,2021,1,89294,0,50,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
145,2021,1,160000,0,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
146,2021,1,150000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
147,2021,1,170000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
148,2021,1,180000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
149,2022,1,192400,0,100,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
150,2022,1,90700,0,100,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
151,2022,1,208775,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
152,2022,1,147800,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
153,2022,1,266400,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
154,2022,1,213120,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
155,2022,1,192564,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
156,2022,1,144854,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
157,2020,1,41689,0,100,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
158,2020,1,47899,0,50,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
159,2020,1,33511,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
160,2020,1,74130,0,50,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
161,2020,1,106000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
162,2020,1,112872,0,50,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
163,2020,1,188000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
164,2020,1,70139,0,50,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
165,2020,1,54742,0,100,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
166,2020,1,110000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
167,2020,1,130800,0,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
168,2021,1,140000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
169,2021,1,28476,0,100,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
170,2021,1,150000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
171,2021,1,115000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
172,2021,1,150000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
173,2021,1,30428,0,100,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
174,2021,1,45391,0,100,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
175,2021,1,200000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
176,2021,1,100000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
177,2021,1,90000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
178,2021,1,28369,0,50,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
179,2021,1,80000,1,100,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
180,2021,1,82528,0,100,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
181,2021,1,26005,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
182,2021,1,4000,0,100,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
183,2021,1,76833,0,50,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
184,2021,1,165000,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
185,2021,0,20000,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
186,2021,1,66022,0,50,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
187,2021,1,21637,0,50,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
188,2021,1,110000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
189,2021,1,72212,0,50,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
190,2021,1,12103,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
191,2021,1,96282,0,50,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
192,2021,1,200000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
193,2021,1,93150,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
194,2021,1,111775,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
195,2021,1,28016,0,100,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
196,2021,1,65013,0,50,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
197,2021,1,72500,1,100,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
198,2021,1,112000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
199,2021,0,69741,0,100,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
200,2022,1,135000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
201,2022,1,170000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
202,2022,1,150000,1,100,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
203,2022,1,52351,0,100,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
204,2022,1,242000,1,100,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
205,2022,1,200000,1,100,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
206,2022,1,78526,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
207,2022,1,52351,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
208,2022,1,45807,0,100,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
209,2022,1,181940,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
210,2022,1,132320,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
211,2022,1,220110,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
212,2022,1,160080,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
213,2022,1,165400,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
214,2022,1,132320,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
215,2022,1,243900,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
216,2022,1,128875,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
217,2022,1,93700,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
218,2022,1,156600,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
219,2022,1,108800,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
220,2022,1,113000,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
221,2022,1,78526,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
222,2022,1,65438,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
223,2022,1,160000,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
224,2022,1,136000,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
225,2022,1,165400,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
226,2022,1,136994,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
227,2022,1,101570,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
228,2022,1,132320,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
229,2022,1,155000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
230,2022,1,117789,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
231,2022,1,209100,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
232,2022,1,154600,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
233,2022,1,175000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
234,2022,1,98158,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
235,2022,1,183600,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
236,2022,1,65949,0,100,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
237,2022,1,49461,0,100,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
238,2022,1,78526,0,100,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
239,2022,1,58894,0,100,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
240,2022,1,63900,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
241,2022,1,82900,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
242,2022,1,100800,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
243,2022,1,49461,0,100,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
244,2022,1,87932,0,100,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
245,2022,1,76940,0,100,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
246,2022,1,104702,0,100,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
247,2022,1,91614,0,100,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
248,2022,1,65949,0,100,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
249,2022,1,87932,0,100,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
250,2022,1,98158,0,100,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
251,2022,1,78526,0,100,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
252,2022,1,76940,0,100,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
253,2022,1,209100,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
254,2022,1,154600,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
